    BeamEntrancePipe  |          HeliumBath  |            Beam Entrance Pipe  |                              0*mm 0*mm -27.085*mm  |                                   0 0 0  | 595959   |                Tube  |                          11*mm 12*mm 25.99*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        BeamEntrance  |  BeamEntranceVacuum  |          Beam entrance window  |                                     0 0 25.925*mm  |                                   0 0 0  | aaaaaa   |                Tube  |                           0*mm 11*mm 0.065*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ShimCoil1  |        VacuumVolume  |                   Shim Coil 1  |                                      0 0 19.01*mm  |                                   0 0 0  | a00000   |                Tube  |                        29.25*mm 29.95*mm 6*mm 0*deg 360*deg  |            ShimCoil  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ShimCoil2  |        VacuumVolume  |                   Shim Coil 2  |                                       0 0 -4.5*mm  |                                   0 0 0  | a00000   |                Tube  |                        29.25*mm 29.95*mm 6*mm 0*deg 360*deg  |            ShimCoil  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           ShimCoil3  |        VacuumVolume  |                   Shim Coil 3  |                                      0 0 -22.5*mm  |                                   0 0 0  | a00000   |                Tube  |                        29.25*mm 29.95*mm 6*mm 0*deg 360*deg  |            ShimCoil  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        ShimCoilTube  |        VacuumVolume  |                 ShimCoil tube  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | aaaaaa   |            Polycone  |0.0*deg 360*deg 2*counts 29*mm 29*mm 29.25*mm 29.25*mm -77*mm 32.15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      ShimCoilSphere  |        VacuumSphere  |               ShimCoil sphere  |                                          0 0 0*mm  |                                   0 0 0  | aaaaaa   |              Sphere  |                  29*mm 29.25*mm 0*deg 360*deg 21*deg 69*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      ShimCoilWindow  |        VacuumSphere  |               ShimCoil Window  |                                          0 0 0*mm  |                                   0 0 0  | aaaaaa   |              Sphere  |                   29*mm 29.02*mm 0*deg 360*deg 0*deg 21*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   PumpingVolumeTube  |        VacuumVolume  |            PumpingVolume tube  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 000080   |            Polycone  |0.0*deg 360*deg 2*counts 35.5*mm 35.5*mm 36*mm 36*mm -77*mm 32.15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 PumpingVolumeSphere  |        VacuumSphere  |          PumpingVolume sphere  |                                          0 0 0*mm  |                                   0 0 0  | 000080   |              Sphere  |                   35.5*mm 36*mm 0*deg 360*deg 18*deg 72*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 PumpingVolumeWindow  |        VacuumSphere  |          PumpingVolume Window  |                                          0 0 0*mm  |                                   0 0 0  | 000080   |              Sphere  |                 35.5*mm 35.63*mm 0*deg 360*deg 0*deg 18*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     HeathShieldTube  |        VacuumVolume  |              HeathShield tube  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 404040   |            Polycone  |0.0*deg 360*deg 2*counts 40.75*mm 40.75*mm 41.25*mm 41.25*mm -77*mm 32.15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   HeathShieldSphere  |        VacuumSphere  |            HeathShield sphere  |                                          0 0 0*mm  |                                   0 0 0  | 404040   |              Sphere  |               40.75*mm 41.25*mm 0*deg 360*deg 16*deg 74*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   HeathShieldWindow  |        VacuumSphere  |            HeathShield Window  |                                          0 0 0*mm  |                                   0 0 0  | 404040   |              Sphere  |                40.75*mm 40.77*mm 0*deg 360*deg 0*deg 16*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       VacuumCanTube  |        VacuumVolume  |                VacuumCan tube  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 0d0d0d   |            Polycone  |0.0*deg 360*deg 2*counts 50*mm 50*mm 51*mm 51*mm -77*mm 32.15*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     VacuumCanSphere  |        VacuumSphere  |              VacuumCan sphere  |                                          0 0 0*mm  |                                   0 0 0  | 0d0d0d   |              Sphere  |                     50*mm 51*mm 0*deg 360*deg 13*deg 77*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     VacuumCanWindow  |        VacuumSphere  |              VacuumCan Window  |                                          0 0 0*mm  |                                   0 0 0  | 0d0d0d   |              Sphere  |                   50*mm 50.13*mm 0*deg 360*deg 0*deg 13*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
