                 cnd  |                root  |      Central Neutron Detector  |                    0*cm 0*cm 0.529000000000002*cm  |                                   0 0 0  | 33bb99   |                Tube  |                   28.95*cm 38.56*cm 39.578*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
        CND_S8_L2_C2  |                 cnd  |Central Neutron Detector, S 8, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -15*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     8   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 8 layer manual 2 component manual 2 
        CND_S8_L3_C1  |                 cnd  |Central Neutron Detector, S 8, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -15*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     8   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 8 layer manual 3 component manual 1 
        CND_S8_L3_C2  |                 cnd  |Central Neutron Detector, S 8, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -15*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     8   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 8 layer manual 3 component manual 2 
        CND_S9_L1_C1  |                 cnd  |Central Neutron Detector, S 9, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -30*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 9 layer manual 1 component manual 1 
        CND_S9_L1_C2  |                 cnd  |Central Neutron Detector, S 9, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -30*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 9 layer manual 1 component manual 2 
        CND_S9_L2_C1  |                 cnd  |Central Neutron Detector, S 9, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -30*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 9 layer manual 2 component manual 1 
        CND_S9_L2_C2  |                 cnd  |Central Neutron Detector, S 9, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -30*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 9 layer manual 2 component manual 2 
        CND_S9_L3_C1  |                 cnd  |Central Neutron Detector, S 9, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -30*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 9 layer manual 3 component manual 1 
        CND_S9_L3_C2  |                 cnd  |Central Neutron Detector, S 9, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -30*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     9   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 9 layer manual 3 component manual 2 
       CND_S10_L1_C1  |                 cnd  |Central Neutron Detector, S 10, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -45*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 10 layer manual 1 component manual 1 
       CND_S10_L1_C2  |                 cnd  |Central Neutron Detector, S 10, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -45*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 10 layer manual 1 component manual 2 
       CND_S10_L2_C1  |                 cnd  |Central Neutron Detector, S 10, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -45*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 10 layer manual 2 component manual 1 
       CND_S10_L2_C2  |                 cnd  |Central Neutron Detector, S 10, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -45*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 10 layer manual 2 component manual 2 
       CND_S10_L3_C1  |                 cnd  |Central Neutron Detector, S 10, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -45*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 10 layer manual 3 component manual 1 
       CND_S10_L3_C2  |                 cnd  |Central Neutron Detector, S 10, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -45*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |    10   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 10 layer manual 3 component manual 2 
       CND_S11_L1_C1  |                 cnd  |Central Neutron Detector, S 11, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -60*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 1 component manual 1 
       CND_S11_L1_C2  |                 cnd  |Central Neutron Detector, S 11, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -60*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 1 component manual 2 
       CND_S11_L2_C1  |                 cnd  |Central Neutron Detector, S 11, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -60*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 2 component manual 1 
       CND_S11_L2_C2  |                 cnd  |Central Neutron Detector, S 11, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -60*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 2 component manual 2 
       CND_S11_L3_C1  |                 cnd  |Central Neutron Detector, S 11, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -60*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 3 component manual 1 
       CND_S11_L3_C2  |                 cnd  |Central Neutron Detector, S 11, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -60*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 3 component manual 2 
       CND_S12_L1_C1  |                 cnd  |Central Neutron Detector, S 12, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -75*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 1 component manual 1 
       CND_S12_L1_C2  |                 cnd  |Central Neutron Detector, S 12, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -75*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 1 component manual 2 
       CND_S12_L2_C1  |                 cnd  |Central Neutron Detector, S 12, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -75*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 2 component manual 1 
       CND_S12_L2_C2  |                 cnd  |Central Neutron Detector, S 12, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -75*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 2 component manual 2 
       CND_S12_L3_C1  |                 cnd  |Central Neutron Detector, S 12, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -75*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 3 component manual 1 
       CND_S12_L3_C2  |                 cnd  |Central Neutron Detector, S 12, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -75*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 3 component manual 2 
       CND_S13_L1_C1  |                 cnd  |Central Neutron Detector, S 13, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -90*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 1 component manual 1 
       CND_S13_L1_C2  |                 cnd  |Central Neutron Detector, S 13, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg -90*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 1 component manual 2 
       CND_S13_L2_C1  |                 cnd  |Central Neutron Detector, S 13, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -90*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 2 component manual 1 
       CND_S13_L2_C2  |                 cnd  |Central Neutron Detector, S 13, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg -90*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 2 component manual 2 
       CND_S13_L3_C1  |                 cnd  |Central Neutron Detector, S 13, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -90*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 3 component manual 1 
       CND_S13_L3_C2  |                 cnd  |Central Neutron Detector, S 13, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg -90*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 3 component manual 2 
       CND_S14_L1_C1  |                 cnd  |Central Neutron Detector, S 14, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -105*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 14 layer manual 1 component manual 1 
       CND_S14_L1_C2  |                 cnd  |Central Neutron Detector, S 14, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -105*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 14 layer manual 1 component manual 2 
       CND_S14_L2_C1  |                 cnd  |Central Neutron Detector, S 14, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg -105*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 14 layer manual 2 component manual 1 
       CND_S14_L2_C2  |                 cnd  |Central Neutron Detector, S 14, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg -105*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 14 layer manual 2 component manual 2 
       CND_S14_L3_C1  |                 cnd  |Central Neutron Detector, S 14, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg -105*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 14 layer manual 3 component manual 1 
       CND_S14_L3_C2  |                 cnd  |Central Neutron Detector, S 14, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg -105*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |    14   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 14 layer manual 3 component manual 2 
       CND_S15_L1_C1  |                 cnd  |Central Neutron Detector, S 15, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -120*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 15 layer manual 1 component manual 1 
       CND_S15_L1_C2  |                 cnd  |Central Neutron Detector, S 15, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -120*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 15 layer manual 1 component manual 2 
       CND_S15_L2_C1  |                 cnd  |Central Neutron Detector, S 15, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg -120*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 15 layer manual 2 component manual 1 
       CND_S15_L2_C2  |                 cnd  |Central Neutron Detector, S 15, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg -120*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 15 layer manual 2 component manual 2 
       CND_S15_L3_C1  |                 cnd  |Central Neutron Detector, S 15, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg -120*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 15 layer manual 3 component manual 1 
       CND_S15_L3_C2  |                 cnd  |Central Neutron Detector, S 15, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg -120*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |    15   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 15 layer manual 3 component manual 2 
       CND_S16_L1_C1  |                 cnd  |Central Neutron Detector, S 16, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -135*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    16   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 16 layer manual 1 component manual 1 
