       ftof_p1a_s1 |       fc | 227.9522006*cm 0*cm 652.1087354*cm | ordered: zyx -90*deg 0*deg -115*deg |      Trd | 20.15*cm 200*cm 6.54*cm 6.54*cm 178.1374*cm  |   11   1   1   0
panel1b_sector4_paddle_13 | ftof_p1b_s4 | 0*cm 0*cm -113.26*cm | 0 0 0 |      Box | 47.065*cm 3*cm 3*cm  |   11   4   2  13
panel1b_sector4_paddle_14 | ftof_p1b_s4 | 0*cm 0*cm -107.22*cm | 0 0 0 |      Box | 50.24*cm 3*cm 3*cm  |   11   4   2  14
panel1b_sector4_paddle_15 | ftof_p1b_s4 | 0*cm 0*cm -101.02*cm | 0 0 0 |      Box | 53.47*cm 3*cm 3*cm  |   11   4   2  15
panel1b_sector4_paddle_16 | ftof_p1b_s4 | 0*cm 0*cm -94.98*cm | 0 0 0 |      Box | 56.645*cm 3*cm 3*cm  |   11   4   2  16
panel1b_sector4_paddle_17 | ftof_p1b_s4 | 0*cm 0*cm -88.78*cm | 0 0 0 |      Box | 59.875*cm 3*cm 3*cm  |   11   4   2  17
panel1b_sector4_paddle_18 | ftof_p1b_s4 | 0*cm 0*cm -82.74*cm | 0 0 0 |      Box | 63.05*cm 3*cm 3*cm  |   11   4   2  18
panel1b_sector4_paddle_19 | ftof_p1b_s4 | 0*cm 0*cm -76.54*cm | 0 0 0 |      Box | 66.28*cm 3*cm 3*cm  |   11   4   2  19
panel1b_sector4_paddle_20 | ftof_p1b_s4 | 0*cm 0*cm -70.5*cm | 0 0 0 |      Box | 69.455*cm 3*cm 3*cm  |   11   4   2  20
panel1b_sector4_paddle_21 | ftof_p1b_s4 | 0*cm 0*cm -64.3*cm | 0 0 0 |      Box | 72.685*cm 3*cm 3*cm  |   11   4   2  21
panel1b_sector4_paddle_22 | ftof_p1b_s4 | 0*cm 0*cm -58.26*cm | 0 0 0 |      Box | 75.86*cm 3*cm 3*cm  |   11   4   2  22
panel1b_sector4_paddle_23 | ftof_p1b_s4 | 0*cm 0*cm -52.06*cm | 0 0 0 |      Box | 79.085*cm 3*cm 3*cm  |   11   4   2  23
panel1b_sector4_paddle_24 | ftof_p1b_s4 | 0*cm 0*cm -46.02*cm | 0 0 0 |      Box | 82.26*cm 3*cm 3*cm  |   11   4   2  24
panel1b_sector4_paddle_25 | ftof_p1b_s4 | 0*cm 0*cm -39.82*cm | 0 0 0 |      Box | 85.49*cm 3*cm 3*cm  |   11   4   2  25
panel1b_sector4_paddle_26 | ftof_p1b_s4 | 0*cm 0*cm -33.78*cm | 0 0 0 |      Box | 88.665*cm 3*cm 3*cm  |   11   4   2  26
panel1b_sector4_paddle_27 | ftof_p1b_s4 | 0*cm 0*cm -27.58*cm | 0 0 0 |      Box | 91.895*cm 3*cm 3*cm  |   11   4   2  27
panel1b_sector4_paddle_28 | ftof_p1b_s4 | 0*cm 0*cm -21.54*cm | 0 0 0 |      Box | 95.07*cm 3*cm 3*cm  |   11   4   2  28
panel1b_sector4_paddle_29 | ftof_p1b_s4 | 0*cm 0*cm -15.34*cm | 0 0 0 |      Box | 98.3*cm 3*cm 3*cm  |   11   4   2  29
panel1b_sector4_paddle_30 | ftof_p1b_s4 | 0*cm 0*cm -9.3*cm | 0 0 0 |      Box | 101.475*cm 3*cm 3*cm  |   11   4   2  30
panel1b_sector4_paddle_31 | ftof_p1b_s4 | 0*cm 0*cm -3.1*cm | 0 0 0 |      Box | 104.705*cm 3*cm 3*cm  |   11   4   2  31
panel1b_sector4_paddle_32 | ftof_p1b_s4 | 0*cm 0*cm 2.94*cm | 0 0 0 |      Box | 107.88*cm 3*cm 3*cm  |   11   4   2  32
panel1b_sector4_paddle_33 | ftof_p1b_s4 | 0*cm 0*cm 9.14*cm | 0 0 0 |      Box | 111.11*cm 3*cm 3*cm  |   11   4   2  33
panel1b_sector4_paddle_34 | ftof_p1b_s4 | 0*cm 0*cm 15.18*cm | 0 0 0 |      Box | 114.285*cm 3*cm 3*cm  |   11   4   2  34
panel1b_sector4_paddle_35 | ftof_p1b_s4 | 0*cm 0*cm 21.38*cm | 0 0 0 |      Box | 117.515*cm 3*cm 3*cm  |   11   4   2  35
panel1b_sector4_paddle_36 | ftof_p1b_s4 | 0*cm 0*cm 27.42*cm | 0 0 0 |      Box | 120.69*cm 3*cm 3*cm  |   11   4   2  36
panel1b_sector4_paddle_37 | ftof_p1b_s4 | 0*cm 0*cm 33.62*cm | 0 0 0 |      Box | 123.92*cm 3*cm 3*cm  |   11   4   2  37
panel1b_sector4_paddle_38 | ftof_p1b_s4 | 0*cm 0*cm 39.66*cm | 0 0 0 |      Box | 127.095*cm 3*cm 3*cm  |   11   4   2  38
panel1b_sector4_paddle_39 | ftof_p1b_s4 | 0*cm 0*cm 45.86*cm | 0 0 0 |      Box | 130.325*cm 3*cm 3*cm  |   11   4   2  39
panel1b_sector4_paddle_40 | ftof_p1b_s4 | 0*cm 0*cm 51.9*cm | 0 0 0 |      Box | 133.5*cm 3*cm 3*cm  |   11   4   2  40
panel1b_sector4_paddle_41 | ftof_p1b_s4 | 0*cm 0*cm 58.1*cm | 0 0 0 |      Box | 136.73*cm 3*cm 3*cm  |   11   4   2  41
panel1b_sector4_paddle_42 | ftof_p1b_s4 | 0*cm 0*cm 64.14*cm | 0 0 0 |      Box | 139.905*cm 3*cm 3*cm  |   11   4   2  42
panel1b_sector4_paddle_43 | ftof_p1b_s4 | 0*cm 0*cm 70.34*cm | 0 0 0 |      Box | 143.135*cm 3*cm 3*cm  |   11   4   2  43
panel1b_sector4_paddle_44 | ftof_p1b_s4 | 0*cm 0*cm 76.38*cm | 0 0 0 |      Box | 146.31*cm 3*cm 3*cm  |   11   4   2  44
panel1b_sector4_paddle_45 | ftof_p1b_s4 | 0*cm 0*cm 82.58*cm | 0 0 0 |      Box | 149.54*cm 3*cm 3*cm  |   11   4   2  45
panel1b_sector4_paddle_46 | ftof_p1b_s4 | 0*cm 0*cm 88.62*cm | 0 0 0 |      Box | 152.715*cm 3*cm 3*cm  |   11   4   2  46
panel1b_sector4_paddle_47 | ftof_p1b_s4 | 0*cm 0*cm 94.82*cm | 0 0 0 |      Box | 155.94*cm 3*cm 3*cm  |   11   4   2  47
panel1b_sector4_paddle_48 | ftof_p1b_s4 | 0*cm 0*cm 100.86*cm | 0 0 0 |      Box | 159.115*cm 3*cm 3*cm  |   11   4   2  48
panel1b_sector4_paddle_49 | ftof_p1b_s4 | 0*cm 0*cm 107.06*cm | 0 0 0 |      Box | 162.345*cm 3*cm 3*cm  |   11   4   2  49
panel1b_sector4_paddle_50 | ftof_p1b_s4 | 0*cm 0*cm 113.1*cm | 0 0 0 |      Box | 165.52*cm 3*cm 3*cm  |   11   4   2  50
panel1b_sector4_paddle_51 | ftof_p1b_s4 | 0*cm 0*cm 119.3*cm | 0 0 0 |      Box | 168.75*cm 3*cm 3*cm  |   11   4   2  51
panel1b_sector4_paddle_52 | ftof_p1b_s4 | 0*cm 0*cm 125.34*cm | 0 0 0 |      Box | 171.925*cm 3*cm 3*cm  |   11   4   2  52
panel1b_sector4_paddle_53 | ftof_p1b_s4 | 0*cm 0*cm 131.54*cm | 0 0 0 |      Box | 175.155*cm 3*cm 3*cm  |   11   4   2  53
panel1b_sector4_paddle_54 | ftof_p1b_s4 | 0*cm 0*cm 137.58*cm | 0 0 0 |      Box | 178.33*cm 3*cm 3*cm  |   11   4   2  54
panel1b_sector4_paddle_55 | ftof_p1b_s4 | 0*cm 0*cm 143.78*cm | 0 0 0 |      Box | 181.56*cm 3*cm 3*cm  |   11   4   2  55
panel1b_sector4_paddle_56 | ftof_p1b_s4 | 0*cm 0*cm 149.82*cm | 0 0 0 |      Box | 184.735*cm 3*cm 3*cm  |   11   4   2  56
panel1b_sector4_paddle_57 | ftof_p1b_s4 | 0*cm 0*cm 156.02*cm | 0 0 0 |      Box | 187.965*cm 3*cm 3*cm  |   11   4   2  57
panel1b_sector4_paddle_58 | ftof_p1b_s4 | 0*cm 0*cm 162.06*cm | 0 0 0 |      Box | 191.14*cm 3*cm 3*cm  |   11   4   2  58
panel1b_sector4_paddle_59 | ftof_p1b_s4 | 0*cm 0*cm 168.26*cm | 0 0 0 |      Box | 194.37*cm 3*cm 3*cm  |   11   4   2  59
panel1b_sector4_paddle_60 | ftof_p1b_s4 | 0*cm 0*cm 174.3*cm | 0 0 0 |      Box | 197.545*cm 3*cm 3*cm  |   11   4   2  60
panel1b_sector4_paddle_61 | ftof_p1b_s4 | 0*cm 0*cm 180.5*cm | 0 0 0 |      Box | 200.775*cm 3*cm 3*cm  |   11   4   2  61
panel1b_sector4_paddle_62 | ftof_p1b_s4 | 0*cm 0*cm 186.54*cm | 0 0 0 |      Box | 203.95*cm 3*cm 3*cm  |   11   4   2  62
        ftof_p2_s4 |       fc | -407.0721297*cm 0*cm 496.5202621*cm | ordered: zyx -270*deg 0*deg -148.11*deg |      Trd | 189.65*cm 223.95*cm 6.54*cm 6.54*cm 59.604*cm  |   11   4   3   0
panel2_sector4_paddle_1 | ftof_p2_s4 | 0*cm 0*cm -44.604*cm | 0 0 0 |      Box | 185.65*cm 2.54*cm 11*cm  |   11   4   3   1
panel2_sector4_paddle_2 | ftof_p2_s4 | 0*cm 0*cm -22.302*cm | 0 0 0 |      Box | 192.5*cm 2.54*cm 11*cm  |   11   4   3   2
panel2_sector4_paddle_3 | ftof_p2_s4 | 0*cm 0*cm 0*cm | 0 0 0 |      Box | 199.35*cm 2.54*cm 11*cm  |   11   4   3   3
panel2_sector4_paddle_4 | ftof_p2_s4 | 0*cm 0*cm 22.302*cm | 0 0 0 |      Box | 206.25*cm 2.54*cm 11*cm  |   11   4   3   4
panel2_sector4_paddle_5 | ftof_p2_s4 | 0*cm 0*cm 44.604*cm | 0 0 0 |      Box | 213.1*cm 2.54*cm 11*cm  |   11   4   3   5
ftof_shield_p2_sector4 | ftof_p2_s4 | 0*cm -2.54735*cm 0*cm | 0 0 0 |      Trd | 185.65*cm 219.95*cm 0.00635*cm 0.00635*cm 55.604*cm  | 
       ftof_p1a_s5 |       fc | -113.9761003*cm -197.4123966*cm 652.1087354*cm | ordered: zyx -330*deg 0*deg -115*deg |      Trd | 20.15*cm 200*cm 6.54*cm 6.54*cm 178.1374*cm  |   11   5   1   0
panel1a_sector5_paddle_1 | ftof_p1a_s5 | 0*cm 0*cm -166.6324*cm | 0 0 0 |      Box | 16.15*cm 2.54*cm 7.505*cm  |   11   5   1   1
panel1a_sector5_paddle_2 | ftof_p1a_s5 | 0*cm 0*cm -151.484*cm | 0 0 0 |      Box | 24.05*cm 2.54*cm 7.505*cm  |   11   5   1   2
panel1a_sector5_paddle_3 | ftof_p1a_s5 | 0*cm 0*cm -136.3356*cm | 0 0 0 |      Box | 32*cm 2.54*cm 7.505*cm  |   11   5   1   3
panel1a_sector5_paddle_4 | ftof_p1a_s5 | 0*cm 0*cm -121.1872*cm | 0 0 0 |      Box | 39.9*cm 2.54*cm 7.505*cm  |   11   5   1   4
panel1a_sector5_paddle_5 | ftof_p1a_s5 | 0*cm 0*cm -106.0388*cm | 0 0 0 |      Box | 47.85*cm 2.54*cm 7.505*cm  |   11   5   1   5
panel1a_sector5_paddle_6 | ftof_p1a_s5 | 0*cm 0*cm -90.8904*cm | 0 0 0 |      Box | 53.3*cm 2.54*cm 7.505*cm  |   11   5   1   6
panel1a_sector5_paddle_7 | ftof_p1a_s5 | 0*cm 0*cm -75.742*cm | 0 0 0 |      Box | 61.2*cm 2.54*cm 7.505*cm  |   11   5   1   7
panel1a_sector5_paddle_8 | ftof_p1a_s5 | 0*cm 0*cm -60.5936*cm | 0 0 0 |      Box | 69.15*cm 2.54*cm 7.505*cm  |   11   5   1   8
panel1a_sector5_paddle_9 | ftof_p1a_s5 | 0*cm 0*cm -45.4452*cm | 0 0 0 |      Box | 77.05*cm 2.54*cm 7.505*cm  |   11   5   1   9
panel1a_sector5_paddle_10 | ftof_p1a_s5 | 0*cm 0*cm -30.2968*cm | 0 0 0 |      Box | 85*cm 2.54*cm 7.505*cm  |   11   5   1  10
panel1a_sector5_paddle_11 | ftof_p1a_s5 | 0*cm 0*cm -15.1484*cm | 0 0 0 |      Box | 92.9*cm 2.54*cm 7.505*cm  |   11   5   1  11
panel1a_sector5_paddle_12 | ftof_p1a_s5 | 0*cm 0*cm 0*cm | 0 0 0 |      Box | 100.85*cm 2.54*cm 7.505*cm  |   11   5   1  12
panel1a_sector5_paddle_13 | ftof_p1a_s5 | 0*cm 0*cm 15.1484*cm | 0 0 0 |      Box | 108.8*cm 2.54*cm 7.505*cm  |   11   5   1  13
panel1a_sector5_paddle_14 | ftof_p1a_s5 | 0*cm 0*cm 30.2968*cm | 0 0 0 |      Box | 116.7*cm 2.54*cm 7.505*cm  |   11   5   1  14
panel1a_sector5_paddle_15 | ftof_p1a_s5 | 0*cm 0*cm 45.4452*cm | 0 0 0 |      Box | 124.65*cm 2.54*cm 7.505*cm  |   11   5   1  15
panel1a_sector5_paddle_16 | ftof_p1a_s5 | 0*cm 0*cm 60.5936*cm | 0 0 0 |      Box | 132.55*cm 2.54*cm 7.505*cm  |   11   5   1  16
panel1a_sector5_paddle_17 | ftof_p1a_s5 | 0*cm 0*cm 75.742*cm | 0 0 0 |      Box | 140.5*cm 2.54*cm 7.505*cm  |   11   5   1  17
panel1a_sector5_paddle_18 | ftof_p1a_s5 | 0*cm 0*cm 90.8904*cm | 0 0 0 |      Box | 148.4*cm 2.54*cm 7.505*cm  |   11   5   1  18
panel1a_sector5_paddle_19 | ftof_p1a_s5 | 0*cm 0*cm 106.0388*cm | 0 0 0 |      Box | 156.35*cm 2.54*cm 7.505*cm  |   11   5   1  19
panel1a_sector5_paddle_20 | ftof_p1a_s5 | 0*cm 0*cm 121.1872*cm | 0 0 0 |      Box | 164.25*cm 2.54*cm 7.505*cm  |   11   5   1  20
panel1a_sector5_paddle_21 | ftof_p1a_s5 | 0*cm 0*cm 136.3356*cm | 0 0 0 |      Box | 172.2*cm 2.54*cm 7.505*cm  |   11   5   1  21
panel1a_sector5_paddle_22 | ftof_p1a_s5 | 0*cm 0*cm 151.484*cm | 0 0 0 |      Box | 180.1*cm 2.54*cm 7.505*cm  |   11   5   1  22
panel1a_sector5_paddle_23 | ftof_p1a_s5 | 0*cm 0*cm 166.6324*cm | 0 0 0 |      Box | 188.05*cm 2.54*cm 7.505*cm  |   11   5   1  23
ftof_shield_p1a_sector5 | ftof_p1a_s5 | 0*cm -2.54735*cm 0*cm | 0 0 0 |      Trd | 16.15*cm 196*cm 0.00635*cm 0.00635*cm 174.1374*cm  | 
       ftof_p1b_s5 |       fc | -109.4972936*cm -189.6548757*cm 638.3495944*cm | ordered: zyx -330*deg 0*deg -115*deg |      Trd | 12.635*cm 211.125*cm 7*cm 7*cm 193.62*cm  |   11   5   2   0
panel1b_sector5_paddle_1 | ftof_p1b_s5 | 0*cm 0*cm -186.7*cm | 0 0 0 |      Box | 8.635*cm 3*cm 3*cm  |   11   5   2   1
panel1b_sector5_paddle_2 | ftof_p1b_s5 | 0*cm 0*cm -180.66*cm | 0 0 0 |      Box | 11.81*cm 3*cm 3*cm  |   11   5   2   2
panel1b_sector5_paddle_3 | ftof_p1b_s5 | 0*cm 0*cm -174.46*cm | 0 0 0 |      Box | 15.04*cm 3*cm 3*cm  |   11   5   2   3
panel1b_sector5_paddle_4 | ftof_p1b_s5 | 0*cm 0*cm -168.42*cm | 0 0 0 |      Box | 18.215*cm 3*cm 3*cm  |   11   5   2   4
panel1b_sector5_paddle_5 | ftof_p1b_s5 | 0*cm 0*cm -162.22*cm | 0 0 0 |      Box | 21.445*cm 3*cm 3*cm  |   11   5   2   5
panel1b_sector5_paddle_6 | ftof_p1b_s5 | 0*cm 0*cm -156.18*cm | 0 0 0 |      Box | 24.62*cm 3*cm 3*cm  |   11   5   2   6
panel1b_sector5_paddle_7 | ftof_p1b_s5 | 0*cm 0*cm -149.98*cm | 0 0 0 |      Box | 27.85*cm 3*cm 3*cm  |   11   5   2   7
panel1b_sector5_paddle_8 | ftof_p1b_s5 | 0*cm 0*cm -143.94*cm | 0 0 0 |      Box | 31.025*cm 3*cm 3*cm  |   11   5   2   8
panel1b_sector5_paddle_9 | ftof_p1b_s5 | 0*cm 0*cm -137.74*cm | 0 0 0 |      Box | 34.255*cm 3*cm 3*cm  |   11   5   2   9
panel1b_sector5_paddle_10 | ftof_p1b_s5 | 0*cm 0*cm -131.7*cm | 0 0 0 |      Box | 37.43*cm 3*cm 3*cm  |   11   5   2  10
panel1b_sector5_paddle_11 | ftof_p1b_s5 | 0*cm 0*cm -125.5*cm | 0 0 0 |      Box | 40.66*cm 3*cm 3*cm  |   11   5   2  11
panel1b_sector5_paddle_12 | ftof_p1b_s5 | 0*cm 0*cm -119.46*cm | 0 0 0 |      Box | 43.835*cm 3*cm 3*cm  |   11   5   2  12
panel1b_sector5_paddle_13 | ftof_p1b_s5 | 0*cm 0*cm -113.26*cm | 0 0 0 |      Box | 47.065*cm 3*cm 3*cm  |   11   5   2  13
panel1b_sector5_paddle_14 | ftof_p1b_s5 | 0*cm 0*cm -107.22*cm | 0 0 0 |      Box | 50.24*cm 3*cm 3*cm  |   11   5   2  14
panel1b_sector5_paddle_15 | ftof_p1b_s5 | 0*cm 0*cm -101.02*cm | 0 0 0 |      Box | 53.47*cm 3*cm 3*cm  |   11   5   2  15
panel1b_sector5_paddle_16 | ftof_p1b_s5 | 0*cm 0*cm -94.98*cm | 0 0 0 |      Box | 56.645*cm 3*cm 3*cm  |   11   5   2  16
panel1b_sector5_paddle_17 | ftof_p1b_s5 | 0*cm 0*cm -88.78*cm | 0 0 0 |      Box | 59.875*cm 3*cm 3*cm  |   11   5   2  17
panel1b_sector5_paddle_18 | ftof_p1b_s5 | 0*cm 0*cm -82.74*cm | 0 0 0 |      Box | 63.05*cm 3*cm 3*cm  |   11   5   2  18
panel1b_sector5_paddle_19 | ftof_p1b_s5 | 0*cm 0*cm -76.54*cm | 0 0 0 |      Box | 66.28*cm 3*cm 3*cm  |   11   5   2  19
panel1b_sector5_paddle_20 | ftof_p1b_s5 | 0*cm 0*cm -70.5*cm | 0 0 0 |      Box | 69.455*cm 3*cm 3*cm  |   11   5   2  20
panel1b_sector5_paddle_21 | ftof_p1b_s5 | 0*cm 0*cm -64.3*cm | 0 0 0 |      Box | 72.685*cm 3*cm 3*cm  |   11   5   2  21
panel1b_sector5_paddle_22 | ftof_p1b_s5 | 0*cm 0*cm -58.26*cm | 0 0 0 |      Box | 75.86*cm 3*cm 3*cm  |   11   5   2  22
panel1b_sector5_paddle_23 | ftof_p1b_s5 | 0*cm 0*cm -52.06*cm | 0 0 0 |      Box | 79.085*cm 3*cm 3*cm  |   11   5   2  23
panel1b_sector5_paddle_24 | ftof_p1b_s5 | 0*cm 0*cm -46.02*cm | 0 0 0 |      Box | 82.26*cm 3*cm 3*cm  |   11   5   2  24
panel1b_sector5_paddle_25 | ftof_p1b_s5 | 0*cm 0*cm -39.82*cm | 0 0 0 |      Box | 85.49*cm 3*cm 3*cm  |   11   5   2  25
panel1b_sector5_paddle_26 | ftof_p1b_s5 | 0*cm 0*cm -33.78*cm | 0 0 0 |      Box | 88.665*cm 3*cm 3*cm  |   11   5   2  26
panel1b_sector5_paddle_27 | ftof_p1b_s5 | 0*cm 0*cm -27.58*cm | 0 0 0 |      Box | 91.895*cm 3*cm 3*cm  |   11   5   2  27
panel1b_sector5_paddle_28 | ftof_p1b_s5 | 0*cm 0*cm -21.54*cm | 0 0 0 |      Box | 95.07*cm 3*cm 3*cm  |   11   5   2  28
panel1b_sector5_paddle_29 | ftof_p1b_s5 | 0*cm 0*cm -15.34*cm | 0 0 0 |      Box | 98.3*cm 3*cm 3*cm  |   11   5   2  29
panel1b_sector5_paddle_30 | ftof_p1b_s5 | 0*cm 0*cm -9.3*cm | 0 0 0 |      Box | 101.475*cm 3*cm 3*cm  |   11   5   2  30
panel1b_sector5_paddle_31 | ftof_p1b_s5 | 0*cm 0*cm -3.1*cm | 0 0 0 |      Box | 104.705*cm 3*cm 3*cm  |   11   5   2  31
panel1b_sector5_paddle_32 | ftof_p1b_s5 | 0*cm 0*cm 2.94*cm | 0 0 0 |      Box | 107.88*cm 3*cm 3*cm  |   11   5   2  32
panel1b_sector5_paddle_33 | ftof_p1b_s5 | 0*cm 0*cm 9.14*cm | 0 0 0 |      Box | 111.11*cm 3*cm 3*cm  |   11   5   2  33
panel1b_sector5_paddle_34 | ftof_p1b_s5 | 0*cm 0*cm 15.18*cm | 0 0 0 |      Box | 114.285*cm 3*cm 3*cm  |   11   5   2  34
panel1b_sector5_paddle_35 | ftof_p1b_s5 | 0*cm 0*cm 21.38*cm | 0 0 0 |      Box | 117.515*cm 3*cm 3*cm  |   11   5   2  35
panel1b_sector5_paddle_36 | ftof_p1b_s5 | 0*cm 0*cm 27.42*cm | 0 0 0 |      Box | 120.69*cm 3*cm 3*cm  |   11   5   2  36
panel1b_sector5_paddle_37 | ftof_p1b_s5 | 0*cm 0*cm 33.62*cm | 0 0 0 |      Box | 123.92*cm 3*cm 3*cm  |   11   5   2  37
panel1b_sector5_paddle_38 | ftof_p1b_s5 | 0*cm 0*cm 39.66*cm | 0 0 0 |      Box | 127.095*cm 3*cm 3*cm  |   11   5   2  38
panel1b_sector5_paddle_39 | ftof_p1b_s5 | 0*cm 0*cm 45.86*cm | 0 0 0 |      Box | 130.325*cm 3*cm 3*cm  |   11   5   2  39
panel1b_sector5_paddle_40 | ftof_p1b_s5 | 0*cm 0*cm 51.9*cm | 0 0 0 |      Box | 133.5*cm 3*cm 3*cm  |   11   5   2  40
panel1b_sector5_paddle_41 | ftof_p1b_s5 | 0*cm 0*cm 58.1*cm | 0 0 0 |      Box | 136.73*cm 3*cm 3*cm  |   11   5   2  41
panel1b_sector5_paddle_42 | ftof_p1b_s5 | 0*cm 0*cm 64.14*cm | 0 0 0 |      Box | 139.905*cm 3*cm 3*cm  |   11   5   2  42
panel1b_sector5_paddle_43 | ftof_p1b_s5 | 0*cm 0*cm 70.34*cm | 0 0 0 |      Box | 143.135*cm 3*cm 3*cm  |   11   5   2  43
panel1b_sector5_paddle_44 | ftof_p1b_s5 | 0*cm 0*cm 76.38*cm | 0 0 0 |      Box | 146.31*cm 3*cm 3*cm  |   11   5   2  44
panel1b_sector5_paddle_45 | ftof_p1b_s5 | 0*cm 0*cm 82.58*cm | 0 0 0 |      Box | 149.54*cm 3*cm 3*cm  |   11   5   2  45
panel1b_sector5_paddle_46 | ftof_p1b_s5 | 0*cm 0*cm 88.62*cm | 0 0 0 |      Box | 152.715*cm 3*cm 3*cm  |   11   5   2  46
panel1b_sector5_paddle_47 | ftof_p1b_s5 | 0*cm 0*cm 94.82*cm | 0 0 0 |      Box | 155.94*cm 3*cm 3*cm  |   11   5   2  47
panel1b_sector5_paddle_48 | ftof_p1b_s5 | 0*cm 0*cm 100.86*cm | 0 0 0 |      Box | 159.115*cm 3*cm 3*cm  |   11   5   2  48
panel1b_sector5_paddle_49 | ftof_p1b_s5 | 0*cm 0*cm 107.06*cm | 0 0 0 |      Box | 162.345*cm 3*cm 3*cm  |   11   5   2  49
panel1b_sector5_paddle_50 | ftof_p1b_s5 | 0*cm 0*cm 113.1*cm | 0 0 0 |      Box | 165.52*cm 3*cm 3*cm  |   11   5   2  50
panel1b_sector5_paddle_51 | ftof_p1b_s5 | 0*cm 0*cm 119.3*cm | 0 0 0 |      Box | 168.75*cm 3*cm 3*cm  |   11   5   2  51
panel1b_sector5_paddle_52 | ftof_p1b_s5 | 0*cm 0*cm 125.34*cm | 0 0 0 |      Box | 171.925*cm 3*cm 3*cm  |   11   5   2  52
panel1b_sector5_paddle_53 | ftof_p1b_s5 | 0*cm 0*cm 131.54*cm | 0 0 0 |      Box | 175.155*cm 3*cm 3*cm  |   11   5   2  53
panel1b_sector5_paddle_54 | ftof_p1b_s5 | 0*cm 0*cm 137.58*cm | 0 0 0 |      Box | 178.33*cm 3*cm 3*cm  |   11   5   2  54
panel1b_sector5_paddle_55 | ftof_p1b_s5 | 0*cm 0*cm 143.78*cm | 0 0 0 |      Box | 181.56*cm 3*cm 3*cm  |   11   5   2  55
panel1b_sector5_paddle_56 | ftof_p1b_s5 | 0*cm 0*cm 149.82*cm | 0 0 0 |      Box | 184.735*cm 3*cm 3*cm  |   11   5   2  56
panel1b_sector5_paddle_57 | ftof_p1b_s5 | 0*cm 0*cm 156.02*cm | 0 0 0 |      Box | 187.965*cm 3*cm 3*cm  |   11   5   2  57
panel1b_sector5_paddle_58 | ftof_p1b_s5 | 0*cm 0*cm 162.06*cm | 0 0 0 |      Box | 191.14*cm 3*cm 3*cm  |   11   5   2  58
panel1b_sector5_paddle_59 | ftof_p1b_s5 | 0*cm 0*cm 168.26*cm | 0 0 0 |      Box | 194.37*cm 3*cm 3*cm  |   11   5   2  59
panel1b_sector5_paddle_60 | ftof_p1b_s5 | 0*cm 0*cm 174.3*cm | 0 0 0 |      Box | 197.545*cm 3*cm 3*cm  |   11   5   2  60
panel1b_sector5_paddle_61 | ftof_p1b_s5 | 0*cm 0*cm 180.5*cm | 0 0 0 |      Box | 200.775*cm 3*cm 3*cm  |   11   5   2  61
panel1b_sector5_paddle_62 | ftof_p1b_s5 | 0*cm 0*cm 186.54*cm | 0 0 0 |      Box | 203.95*cm 3*cm 3*cm  |   11   5   2  62
        ftof_p2_s5 |       fc | -203.5360648*cm -352.5348055*cm 496.5202621*cm | ordered: zyx -330*deg 0*deg -148.11*deg |      Trd | 189.65*cm 223.95*cm 6.54*cm 6.54*cm 59.604*cm  |   11   5   3   0
panel2_sector5_paddle_1 | ftof_p2_s5 | 0*cm 0*cm -44.604*cm | 0 0 0 |      Box | 185.65*cm 2.54*cm 11*cm  |   11   5   3   1
panel2_sector5_paddle_2 | ftof_p2_s5 | 0*cm 0*cm -22.302*cm | 0 0 0 |      Box | 192.5*cm 2.54*cm 11*cm  |   11   5   3   2
panel2_sector5_paddle_3 | ftof_p2_s5 | 0*cm 0*cm 0*cm | 0 0 0 |      Box | 199.35*cm 2.54*cm 11*cm  |   11   5   3   3
panel2_sector5_paddle_4 | ftof_p2_s5 | 0*cm 0*cm 22.302*cm | 0 0 0 |      Box | 206.25*cm 2.54*cm 11*cm  |   11   5   3   4
panel2_sector5_paddle_5 | ftof_p2_s5 | 0*cm 0*cm 44.604*cm | 0 0 0 |      Box | 213.1*cm 2.54*cm 11*cm  |   11   5   3   5
ftof_shield_p2_sector5 | ftof_p2_s5 | 0*cm -2.54735*cm 0*cm | 0 0 0 |      Trd | 185.65*cm 219.95*cm 0.00635*cm 0.00635*cm 55.604*cm  | 
       ftof_p1a_s6 |       fc | 113.9761003*cm -197.4123966*cm 652.1087354*cm | ordered: zyx -390*deg 0*deg -115*deg |      Trd | 20.15*cm 200*cm 6.54*cm 6.54*cm 178.1374*cm  |   11   6   1   0
panel1a_sector6_paddle_1 | ftof_p1a_s6 | 0*cm 0*cm -166.6324*cm | 0 0 0 |      Box | 16.15*cm 2.54*cm 7.505*cm  |   11   6   1   1
panel1a_sector6_paddle_2 | ftof_p1a_s6 | 0*cm 0*cm -151.484*cm | 0 0 0 |      Box | 24.05*cm 2.54*cm 7.505*cm  |   11   6   1   2
panel1a_sector6_paddle_3 | ftof_p1a_s6 | 0*cm 0*cm -136.3356*cm | 0 0 0 |      Box | 32*cm 2.54*cm 7.505*cm  |   11   6   1   3
panel1a_sector6_paddle_4 | ftof_p1a_s6 | 0*cm 0*cm -121.1872*cm | 0 0 0 |      Box | 39.9*cm 2.54*cm 7.505*cm  |   11   6   1   4
